Zone,Question,Explanation,Weight
Management Zone,Does the application provide administrative access to systems or infrastructure?,Applications that manage or configure other systems typically belong in the Management Zone,High
Management Zone,Is the application used primarily by IT or OT administrators rather than regular users?,Management Zone applications are typically used by specialized administrative personnel,High
Management Zone,Does the application require privileged access to multiple systems?,Applications needing elevated privileges across systems are typically placed in the Management Zone,High
Management Zone,Is the application used for monitoring system health or performance?,System monitoring tools typically belong in the Management Zone,Medium
Management Zone,Does the application manage configurations for other systems or devices?,Configuration management tools are typically placed in the Management Zone,High
Management Zone,Is the application used for patching or updating other systems?,Patch management systems typically belong in the Management Zone,High
Management Zone,Does the application need to access management interfaces of other systems?,Applications that access management interfaces should be in the Management Zone,High
Management Zone,Is the application used for IT service management or support?,IT service management tools typically belong in the Management Zone,Medium
Management Zone,Does the application manage user accounts or access rights?,Identity and access management tools typically belong in the Management Zone,High
Management Zone,Is the application used for backup or recovery operations?,Backup and recovery systems typically belong in the Management Zone,Medium
Enterprise Zone,Is the application primarily used for business functions rather than operational control?,Business applications typically belong in the Enterprise Zone,High
Enterprise Zone,Is the application used by office staff or business personnel?,Applications used by business staff typically belong in the Enterprise Zone,High
Enterprise Zone,Does the application handle business data rather than operational data?,Applications processing business data typically belong in the Enterprise Zone,High
Enterprise Zone,Does the application integrate with other business systems like ERP or CRM?,Business applications that integrate with other enterprise systems typically belong in the Enterprise Zone,Medium
Enterprise Zone,Is the application used for financial management or reporting?,Financial applications typically belong in the Enterprise Zone,High
Enterprise Zone,Does the application handle human resources or personnel data?,HR applications typically belong in the Enterprise Zone,High
Enterprise Zone,Is the application used for business planning or analytics?,Business intelligence and planning tools typically belong in the Enterprise Zone,Medium
Enterprise Zone,Does the application need to be accessed by users across multiple business units?,Applications with broad business user bases typically belong in the Enterprise Zone,Medium
Enterprise Zone,Is the application used for document management or collaboration?,Collaboration and document management tools typically belong in the Enterprise Zone,Medium
Enterprise Zone,Does the application have minimal direct impact on operations if unavailable?,Applications with low operational impact typically belong in the Enterprise Zone,Medium
OT (Operational Technology) Zone,Does the application directly monitor or control physical processes or equipment?,Applications that control physical processes typically belong in the OT Zone,High
OT (Operational Technology) Zone,Is the application part of an industrial control system?,Industrial control systems typically belong in the OT Zone,High
OT (Operational Technology) Zone,Does the application require real-time or near-real-time operation?,Applications with real-time requirements typically belong in the OT Zone,High
OT (Operational Technology) Zone,Is the application used by plant operators or engineers?,Applications used by operational staff typically belong in the OT Zone,High
OT (Operational Technology) Zone,Does the application handle data related to physical processes?,Applications processing operational data typically belong in the OT Zone,High
OT (Operational Technology) Zone,Would a failure of the application directly impact physical operations?,Applications with direct operational impact typically belong in the OT Zone,High
