Category,Application,Purpose,Purdue Level,Network Zone,Justification
Control Systems,SCADA (Supervisory Control and Data Acquisition),Monitors and controls geographically distributed equipment,2-3,"OT, Operations","Provides supervisory control of critical infrastructure; Requires near real-time response (seconds); Directly impacts grid reliability and operations; Used by system operators in control centers; Subject to NERC CIP and other reliability standards; Failure could result in operational disruption"
Control Systems,Energy Management System (EMS),Monitors and controls power transmission,2-3,"OT, Operations","Controls critical transmission infrastructure; Requires real-time monitoring and control; Directly impacts grid reliability and stability; Used by system operators in control centers; Subject to NERC CIP and other reliability standards; Failure could result in widespread outages or instability"
Control Systems,Distribution Management System (DMS),Manages power distribution networks,2-3,"OT, Operations","Controls distribution equipment (switches, reclosers); Requires near real-time response for outage management; Directly impacts customer power delivery; Used by distribution operators in control centers; Critical for maintaining service reliability; Integrates with outage management and customer systems"
Control Systems,Generation Control System,Controls power generation equipment,1-2,"OT, Field","Directly controls physical generation equipment (turbines, generators); Requires real-time response (milliseconds to seconds); Located at generation facilities; Critical for power production and grid stability; Failure directly impacts generation capacity and safety; Subject to NERC CIP and other energy regulations"
Control Systems,Plant Distributed Control System (DCS),Integrated control for power plant processes,1-2,"OT, Field","Controls integrated plant systems (boilers, turbines, auxiliaries); Requires real-time response for process control; Located within the generation facility; Critical for plant operation and safety; Specialized knowledge required for operation; Subject to strict reliability and safety requirements"
Control Systems,Advanced Distribution Management System (ADMS),Integrated distribution management platform,2-3,"OT, Operations","Integrates DMS, OMS, and other distribution functions; Requires near real-time response for some functions; Directly impacts distribution operations; Used by distribution operators and engineers; Critical for modern distribution operations; Represents the evolution of traditional DMS/OMS"
Control Systems,Outage Management System (OMS),Tracks and manages power outages,3,Operations,"Coordinates restoration activities; Does not directly control equipment but directs field crews; Requires timely but not real-time response; Used by operations staff and field crews; Integrates with customer systems and field operations; Critical for service restoration and customer communication"
Control Systems,Distributed Energy Resource Management System (DERMS),Manages distributed generation resources,2-3,"OT, Operations","Controls and coordinates distributed resources (solar, storage); Requires near real-time monitoring and control; Directly impacts grid stability and operations; Used by system operators and engineers; Critical for integrating renewable resources; Increasingly important for grid modernization"
Control Systems,Microgrid Controller,Manages isolated or islanded microgrids,1-2,"OT, Field","Directly controls microgrid equipment; Requires real-time response for stability; Located at or near the microgrid; Critical for microgrid stability and operation; Must function autonomously during islanding; Specialized requirements for seamless transitions"
Control Systems,Volt/VAR Optimization System,Optimizes voltage and reactive power,2-3,"OT, Operations","Controls voltage regulation equipment; Requires near real-time monitoring and control; Directly impacts power quality and efficiency; Used by distribution engineers and operators; Important for energy efficiency and capacity utilization; Increasingly important for grid modernization"
Field Devices and Automation,Programmable Logic Controller (PLC),Controls specific industrial processes,1,"OT, Field","Directly controls physical equipment; Requires real-time (millisecond) response; Located at or near the equipment being controlled; Failure directly impacts production or safety; Operates autonomously with minimal human intervention; Critical for basic control functions"
Field Devices and Automation,Remote Terminal Unit (RTU),Interfaces with field equipment for remote monitoring,1,"OT, Field","Directly interfaces with field equipment; Transmits telemetry and receives control commands; Located at remote sites (substations, generation); Critical for remote monitoring and control; Must function reliably in harsh environments; Often the primary interface to remote equipment"
